name,eye_color,gender,species,description
Luke Skywalker,blue,male,Human,"Luke Skywalker, a Force-sensitive human male, was a legendary Jedi Master who fought in the Galactic Civil War during the reign of the Galactic Empire. Along with his companions, Princess Leia Organa and General Han Solo, Skywalker served on the side of the Alliance to Restore the Republican organization committed to the downfall of the Galactic Empire and the restoration of democracy. Following the war, Skywalker became a living legend, and was remembered as one of the greatest Jedi in galactic history.
The son of Jedi Knight Anakin Skywalker and Senator Padmé Amidala, Luke Skywalker was born along with his twin sister, Leia, in 19 BBY. As a result of Amidala's death and Anakin's fall to the dark side of the Force, the Skywalker children were separated and sent into hiding, with Leia adopted by the royal family of Alderaan while Luke was raised by his relatives on Tatooine. Longing for a life of adventure and purpose, Skywalker joined the Rebellion and began learning the ways of the Force under the guidance of Jedi Master Obi-Wan Kenobi, whose first apprentice was Luke's own father. During the Battle of Yavin in 0 BBY, Skywalker saved the Alliance from annihilation by destroying the Empire's planet-killing superweapon, the Death Star. He continued his training in the years that followed, determined to become a Jedi Knight like his father before him, and found a new mentor in Grand Master Yoda. After his master's death, Skywalker participated in the Battle of Endor in 4 ABY, during which he confronted the Sith Lord Darth Vader, whom he learned was in fact his father, Anakin Skywalker. With Luke's help, Anakin returned to the light side of the Force by killing Galactic Emperor Darth Sidious at the cost of his own life, fulfilling his destiny as the Chosen One.
With the Sith's destruction and the subsequent capitulation of the Empire in 5 ABY, Luke Skywalker traveled across the galaxy, searching for knowledge that would aid him in rebuilding the Jedi Order. One of his apprentices was his sister's son, Ben Solo, who inherited the Skywalker bloodline's raw strength and potential for limitless power. The loss of his nephew, who fell to the dark side like Vader before him, haunted Skywalker for the rest of his life. In addition, the destruction of his nascent Order convinced him that the time had come for the Jedi to end. He therefore sought exile on the distant world of Ahch-To, having elected to live out his remaining days as a hermit despite the galaxy's pleas for help during the rise of the First Order. His solitude was interrupted in 34 ABY, shortly after the fall of the New Republic, resulting in a chain of events that led Skywalker to play one last, momentous role in the conflict between light and darkness. Although he passed away into the Force, his legend would spread throughout the galaxy, rekindling a spark of hope in the enemies of the First Order. Before his death, Skywalker declared that the Jedi Order would not die with him, having trained a final apprentice: the Jakku scavenger known as Rey.
In 35 ABY, Skywalker's spirit communed with Rey during the final days of the war. The Jedi apprentice had exiled herself to Ahch-To, following in Skywalker's example. However, Skywalker urged Rey to confront her grandfather, the resurrected Darth Sidious. Believing he had been wrong, Skywalker told Rey that a Jedi's destiny was to confront fear. Following the Emperor's destruction, the spirits of Skywalker and his sister were watching over Rey when she took their family name as her own."
C-3PO,yellow,,Droid,"C-3PO, sometimes spelled See-Threepio and often referred to simply as Threepio, was a 3PO-series protocol droid designed to interact with organics, programmed primarily for etiquette and protocol. He was fluent in over six million forms of communication, and developed a fussy and worry-prone personality throughout his many decades of operation. Along with his counterpart, the astromech droid R2-D2, C-3PO constantly found himself directly involved in pivotal moments of galactic history, and aided in saving the galaxy on many occasions.
C-3PO was rebuilt from spare parts by Anakin Skywalker, a human slave who lived in Mos Espa, a city on the Outer Rim world of Tatooine. Shortly after the Clone Wars, C-3PO's memory was erased, though R2-D2's memory was not. C-3PO and R2-D2 were assigned to the Alderaan cruiser Tantive IV, where they served senator Bail Organa for nineteen years. At some point during this time, 3PO's right leg was fitted with mismatched plating.
They became embroiled in the Galactic Civil War when Leia Organa of the Rebel Alliance entrusted them to bring a copy of the Death Star plans to the Jedi Master Obi-Wan Kenobi on Tatooine. After meeting Skywalker's son, Luke and the smuggler Han Solo, the droids helped rescue princess Leia from the Empire's Death Star. They became directly attached to the three humans, helping them and their rebellion defeat the Empire and restore freedom to the galaxy, most notably when he convinced the Ewoks to aid the Rebels at the Battle of Endor.
Following the Battle of Endor, C-3PO continued serving the Skywalkers and Han Solo during the time of the New Republic. About thirty years after the events on Endor, C-3PO was still an aide to Leia Organa, who had become a General in the Resistance, a private military group opposed to the First Order, a military junta that emulated the Old Empire. By that time, C-3PO's language database had been updated so that he could understand and communicate in over seven million different forms of communication, including ancient Sith dialects."
R2-D2,red,,Droid,"R2-D2, pronounced Artoo-Deetoo and often referred to as R2 (Artoo), was an R2-series astromech droid manufactured by Industrial Automaton with masculine programming. A smart, spunky droid who would serve a multitude of masters over his lifetime, R2-D2 was never given a full memory wipe (apart from a partial wipe of select information by Cad Bane during the senate hostage crisis) nor did he ever receive new programming, with these factors resulting in an adventurous and independent attitude. Often finding himself in pivotal moments in galactic history, his bravery and ingenuity saved the galaxy on numerous occasions.
Beginning his service in the employ of Queen Amidala of Naboo, R2-D2 wound up serving Jedi Knight Anakin Skywalker during the waning years of the Galactic Republic, often accompanied by the protocol droid C-3PO in many adventures throughout the Clone Wars. After Skywalker turned to the dark side of the Force, the droid served Senator Bail Organa for a time in the Imperial Senate. Nineteen years following the purge of the Galactic Republic, R2-D2 played a pivotal role in helping the Rebel Alliance destroy the Empire's Death Star superweapon. He carried technical readouts vital to its destruction. Serving Jedi Knight Luke Skywalker, the son of his two former masters throughout the Galactic Civil War, he participated in both the Battles of Hoth and Endor, and witnessed the successful destruction of the Empire's second Death Star four years after the first one was demolished.
In the subsequent thirty years, R2 accompanied Luke Skywalker until the undoing of his attempted resurrection of the Jedi Order in 28 ABY. Following Luke's disappearance, R2 entered a self-imposed low power mode as newer droid models started to out-compute the aging astromech. Despite this, his celebrated role in the Rebellion protected him from the usual recycling procedure of many old droids, allowing him a semi-retirement in the Resistance as he pored over several decades of uninterrupted data, and ""dreamed"" of his greatest adventures."
Darth Vader,yellow,male,Human,"Anakin Skywalker was a Force-sensitive Human male who served the Galactic Republic as a Jedi Knight and later served the Galactic Empire as the Sith Lord Darth Vader. Born to the slave Shmi Skywalker in 41.9 BBY, Anakin was conceived by midi-chlorians, the symbiotic organisms that allowed individuals to touch the Force, and he and his mother were brought to the desert planet of Tatooine to be the slaves of Gardulla the Hutt. They soon ended up as the property of the Toydarian Watto, and Skywalker exhibited exceptional piloting skills and a reputation for being able to build and repair anything even at a young age. In 32 BBY, Skywalker encountered the Jedi Qui-Gon Jinn and Padmé Amidala, and he helped them secure the parts they needed for their starship by winning the Boonta Eve Classic podracing eventonly to learn that he had also won his freedom in doing so.

Reluctantly leaving his mother behind, Skywalker accompanied Jinn and his group to the Republic's capital of Coruscant and participated in the Battle of Naboo, helping to free Amidala's homeworld from the armies of the Trade Federation. While Jinn was killed during the battle, Jinn's student Obi-Wan Kenobi followed Jinn's wishes and took on Skywalker as his Padawan, and much of the Jedi Council believed that Skywalker was the Chosen One of Jedi prophecy: one who would bring balance to the Force by destroying the Sith Order. Skywalker and Kenobi had a number of adventures during the Padawan's decade of training to become a Jedi, but as the Separatist Crisis threatened to tear the Republic apart in 22 BBY, Skywalker was reunited with Amidala when he was assigned to protect her from assassins. The two grew close during the course of the assignment, though they were caught up in the Battle of Geonosis and the beginning of the Clone Wars between the Republic and the Confederacy of Independent Systems. Losing an arm during the fighting, Skywalker received a cybernetic replacement, and he and Amidala were secretly married in the days after the battle, despite the Jedi Code's restrictions on romantic attachments.

During the Clone Wars, which raged for the next three years, Skywalker was granted the rank of Jedi Knight and became known to the public as the ""Hero with No Fear."" Taking on the Togruta Ahsoka Tano as his apprentice, Skywalker fought alongside Kenobi and his fellow Jedi in scores of battles, and his friendship with Supreme Chancellor Palpatine deepened despite the Jedi Order's wariness of Palpatine's rapid acquisition of further powers during the course of the war. Throughout the Clone Wars, Skywalker's anger and sense of loss pushed him ever closer to the dark side of the Force, and his visions of Amidala dying in childbirth in 19 BBY made him desperate to find a way to save his wife. Palpatine, who was in fact the Sith Lord Darth Sidious, manipulated Skywalker into becoming his apprentice with the promise of saving Amidala, and Skywalker became the Sith Lord Darth Vader as Palpatine transformed the Republic into the Galactic Empire and eradicated the Jedi Order.

Vader and Kenobi clashed on Mustafar after Vader attacked his wife in the belief that she had betrayed him, and the newly christened Sith Lord was left limbless and ravaged by fire at the end of their battle. Encased in a suit of life-sustaining black armor and believing his wife to be dead, Vader embraced his role as the Emperor's right hand and enforcer, hunting down Jedi survivors and enforcing the will of the Empire for years to come. The Sith Lord trained a number of secret apprentices and Dark Jedi, though his plans to overthrow his master had not advanced far when the Galactic Civil War erupted between the Empire and the Alliance to Restore the Republic in 2 BBY. In 0 BBY, the Death Starthe Empire's greatest superweaponwas destroyed by a young Rebel pilot despite Vader's efforts, and Vader became obsessed with discovering the pilot's identity, only to learn that it was Luke Skywalker: his own son, born before Amidala's death.

Vader continued to pursue both Skywalker and the Alliance over the next three years, finally luring his son into a trap on the mining colony of Cloud City in 3 ABY where the two dueled. Vader revealed his identity to Skywalker, though his son refused to join him and escaped. When Darth Sidious learned of Skywalker's existence, he set in motion his own plans to recruit Skywalker and thereby replace Vader, but Skywalker surrendered himself to Imperial forces on the forest moon of Endor in 4 ABY in hopes of redeeming his father and turning him back to the light side. In a final duel on the second Death Star as the Battle of Endor raged around them, Skywalker and Vader fought each other, and Vader refused his son's attempts to redeem him, learning that Skywalker had a twin sister named Leia in the process. Skywalker defeated his father but refused to kill him, and when Sidious attempted to kill the young man, Vadermoved by his son's loveabandoned the dark side and sacrificed himself to destroy the Emperor, fulfilling the prophecy of the Chosen One. Mortally wounded, Anakin made peace with his son and became one with the Force, though his reputation, his legacy, and his family endured for decades afterwards."
Leia Organa,brown,female,Human,"Leia Skywalker Organa Solo was a Force-sensitive human female political and military leader who served in the Alliance to Restore the Republic during the Imperial Era and the New Republic and Resistance in the subsequent New Republic Era. Adopted into the House of Organa, the Alderaanian royal family, she was Princess Leia Organa of Alderaan, a planet in the Core Worlds known for its dedication to pacifism. The princess was raised as the daughter of Senator Bail Organa and his wife, Queen Breha Organa, making her the heir to the Alderaanian monarchy. Instilled with the values of her adopted homeworld, Organa devoted her life to the restoration of democracy by opposing authoritarian regimes such as the Galactic Empire and the First Order.
Born in 19 BBY as Leia Amidala Skywalker, she was the biological offspring of the Jedi Knight Anakin Skywalker and Senator Padmé Amidala of Naboo. Her birth occurred in the aftermath of the Clone Wars, which saw the Jedi Order purged and the Galactic Republic reorganized into the Galactic Empire. With her mother's death in childbirth and her father's fall to the dark side of the Force, Leia and her twin brother Luke Skywalker were separated to keep them hidden from the Sith Lords Darth Sidious and Darth Vader. As the adopted daughter of a politician, Leia Organa eventually succeeded Bail by representing their homeworld in the Imperial Senate, though secretly she supported the Rebellion. During the Galactic Civil War, however, Alderaan was destroyed along with its inhabitants and the royal family by the Empire's DS-1 Death Star Mobile Battle Station, causing Organa to openly fight the New Order as a leader of the Rebel Alliance.
In the aftermath of the Battle of Endor, Organa married the Corellian smuggler Han Solo and learned the Jedi arts as her brother's apprentice until giving birth to her son, Ben Solo, on the day of the Empire's capitulation in 5 ABY. Her personal and political life suffered in the years that followed, with Ben turning to the dark side like his grandfather before him, adopting the persona of Kylo Ren, and the Galactic Senate sidelining Organa's career. Adopting the military rank of general, she led the Resistance during the Cold War and sought to make amends with Ben. Despite her efforts, the First Order succeeded in destroying the New Republic, and Organa's husband died at the hand of their estranged son in 34 ABY. Organa continued to lead the Resistance during the war against the First Order, all the while training Reya Force-sensitive scavenger from Jakkuas a Jedi.
As her health declined, Organa used her remaining strength to reach her son, calling him back to the light side of the Force. Following her death on Ajan Kloss in 35 ABY, the Resistance defeated the forces of the reborn Darth Sidious's Sith Eternal on Exegol, and inspired an uprising against the First Order across the galaxy. The heir to three inheritances, Leia Skywalker Organa Solo's legacy passed on to the Jedi Rey Skywalker, the military leader Poe Dameron of the Resistance, and Ben Solo, her only son, who ultimately returned to the light and sacrificed himself for Rey."
Owen Lars,blue,male,Human,"Owen Lars was a human male moisture farmer from the desert planet Tatooine. He was the son of Aika and Cliegg Lars, and he became the stepbrother of Jedi Knight Anakin Skywalker when Cliegg married Anakin's mother, Shmi Skywalker. In 22 BBY, Shmi was killed by Tusken Raiders, and Cliegg passed away soon after. Lars married his girlfriend, Beru Whitesun, and they toiled to maintain the homestead.
In 19 BBY, Lars and his wife were contacted by Skywalker's Jedi Master, Obi-Wan Kenobi, and they were tasked with caring for Skywalker's infant son, Luke. Lars believed that Skywalker had died due to his role as a Jedi, so to protect Luke, the farmer forbade Kenobi from visiting or training the boy. In the following years, Lars prevented Luke from knowing the truth about his father, and he kept the boy busy with farm work.
In 0 BBY, Lars and Luke Skywalker purchased the droid R2-D2, who, unbeknownst to them, possessed stolen plans for the Death Star, an Imperial superweapon. Imperial stormtroopers tracked the droid to Lars' homestead, where they interrogated and murdered both him and his wife. When Skywalker discovered that his family had been killed, he left Tatooine with Kenobi to train as a Jedi, joining the Rebel Alliance and destroying the Death Star in the Battle of Yavin."
Beru Whitesun lars,blue,female,Human,"Beru Whitesun Lars, born Beru Whitesun, was a human female from the planet Tatooine. She was married to Owen Lars, the stepbrother of Jedi Knight Anakin Skywalker, whose son, Luke Skywalker, they raised during the reign of the Galactic Empire. Lars was killed along with her husband by Imperial stormtroopers, who also burned down the Lars moisture farm. With their deaths, Skywalker left his homeworld and joined the Alliance to Restore the Republic."
R5-D4,red,,Droid,"R5-D4, also called ""Red"" by Luke Skywalker, was a red and white-striped R5 astromech droid owned by a group of Jawas on Tatooine in the early days of the Galactic Civil War. Shortly before the Battle of Yavin, the Jawas attempted to sell him to Owen Lars, but the droid purposely malfunctioned his motivator at the advice of R2-D2, so that Lars could purchase R2-D2 in R5-D4's place. The droid survived an Imperial attack on the sandcrawler soon after, and went out to find the rebellion. R5 was still active by the time of the New Republic Era, and eventually came into the service of Peli Motto. He projected a map of Tatooine in order to assist the Mandalorian Din Djarin."
Biggs Darklighter,brown,male,Human,"Biggs Darklighter was a human male ace pilot who fought for the Alliance to Restore the Republic during the early days of the Galactic Civil War. He grew up on the desert world of Tatooine, where he became a close boyhood friend of Luke Skywalker. The two became pilots and dreamed of leaving Tatooine. Darklighter left his homeworld for the Imperial Academy, but defected from the Galactic Empire after graduation in order to join the Rebel Alliance. He returned to Tatooine one final time to tell Skywalker of his plans.
With his home planet behind him, Darklighter relocated to the Rebel base on Yavin 4. He reunited with Skywalker, who had helped rescue Princess Leia Organa, a leader in the Alliance, from the Death Star with stolen plans for the planet-destroying space station. The Rebellion analyzed the plans and organized the Battle of Yavin, where Darklighter and Skywalker flew as members of Red Squadron in the assault on the station. Skywalker successfully destroyed the Death Star, but not before Darklighter was killed in combat by Darth Vader."
Obi-Wan Kenobi,blue-gray,male,Human,"Obi-Wan Kenobi was a legendary human male Jedi Master who served on the Jedi High Council during the last years of the Republic Era. During the Imperial Era, he adopted the alias Ben Kenobi in order to hide from the regime that drove the Jedi to near extinction. A noble man known for his skills with the Force, Kenobi trained Anakin Skywalker, served as a Jedi General in the Grand Army of the Republic, and became a mentor to Luke Skywalker prior to his death in 0 BBY.
Born on the planet Stewjon in 57 BBY, Kenobi joined the Jedi Orderan order of Force-sensitive peacekeepersat a young age. Following his initial lessons under Grand Master Yoda, he became the Padawan of Jedi Master Qui-Gon Jinn. During the Invasion of Naboo in 32 BBY, Kenobi defeated the Sith Lord Darth Maul and was awarded the status of Jedi Knight. As a result of Jinn's death, Kenobi took on the task of training Anakin Skywalker, but often had to rein in his adventure-seeking apprentice. Although he deemed Skywalker arrogant and overconfident in his Force powers, Kenobi also regarded him as a brother and good friend. Moreover, he was convinced that Skywalker was the Chosen One destined to bring the Force into balance by destroying the Sith.
In the aftermath of the First Battle of Geonosis in 22 BBY, Kenobi and his fellow Jedi defended the Galactic Republic from the Confederacy of Independent Systems, becoming generals in the Republic Military. As the commanding officer of the 7th Sky Corps, Kenobi's second-in-command was Clone Marshal Commander CC-2224 ""Cody,"" although he also often served with Skywalker who commanded the elite 501st Legion. In 19 BBY, Kenobi destroyed General Grievous, effectively ending the Clone Wars. By then, however, Order 66 was activated by the Sith Lord Darth Sidious, which resulted in the clone troopers turning against their Jedi officers. Kenobi survived Cody's betrayal, only to discover that Skywalker turned to the dark side of the Force as Darth Vader. A fateful battle ensued between the former friends, and ended with Kenobi leaving Vader to die on Mustafar. With the Jedi all but extinct, Kenobi exiled himself to Tatooine where he lived as a hermit for two decades.
During the Galactic Civil War, Princess Leia Organa of Alderaan was captured by the Galactic Empire while attempting to recruit Kenobi for the Alliance to Restore the Republic. Kenobi chose to answer the Alliance's plea for help, and also began training Vader's son, Luke Skywalker, who sought to become a Jedi like his father before him. Their time together was cut short, however, as Kenobi sacrificed himself to protect Skywalker. Vader struck down his former master, but ultimately death was not the end for Kenobi, having preserved his consciousness as a Force spirit. He would continue to watch over Skywalker, guiding him on his path to knighthood."
